time, rx, ry, rz, vx, vy, vz
0,0,0,1,0,0,0,
0.01,0,0,0.99995,0,0,-0.00999975,
0.02,0,0,0.9998,0,0,-0.0199985,
0.03,0,0,0.99955,0,0,-0.0299953,
0.04,0,0,0.9992,0,0,-0.039989,
0.05,0,0,0.99875,0,0,-0.0499788,
0.06,0,0,0.998201,0,0,-0.0599635,
0.07,0,0,0.997551,0,0,-0.0699423,
0.08,0,0,0.996802,0,0,-0.079914,
0.09,0,0,0.995953,0,0,-0.0898778,
0.1,0,0,0.995004,0,0,-0.0998326,
0.11,0,0,0.993956,0,0,-0.109777,
0.12,0,0,0.992809,0,0,-0.119711,
0.13,0,0,0.991562,0,0,-0.129633,
0.14,0,0,0.990216,0,0,-0.139542,
0.15,0,0,0.988771,0,0,-0.149437,
0.16,0,0,0.987227,0,0,-0.159317,
0.17,0,0,0.985585,0,0,-0.169181,
0.18,0,0,0.983844,0,0,-0.179028,
0.19,0,0,0.982004,0,0,-0.188857,
0.2,0,0,0.980066,0,0,-0.198668,
0.21,0,0,0.978031,0,0,-0.208458,
0.22,0,0,0.975897,0,0,-0.218228,
0.23,0,0,0.973666,0,0,-0.227976,
0.24,0,0,0.971338,0,0,-0.237701,
0.25,0,0,0.968912,0,0,-0.247402,
0.26,0,0,0.96639,0,0,-0.257078,
0.27,0,0,0.963771,0,0,-0.266729,
0.28,0,0,0.961055,0,0,-0.276353,
0.29,0,0,0.958244,0,0,-0.28595,
0.3,0,0,0.955336,0,0,-0.295518,
0.31,0,0,0.952333,0,0,-0.305056,
0.32,0,0,0.949235,0,0,-0.314564,
0.33,0,0,0.946042,0,0,-0.32404,
0.34,0,0,0.942754,0,0,-0.333484,
0.35,0,0,0.939372,0,0,-0.342895,
0.36,0,0,0.935896,0,0,-0.352271,
0.37,0,0,0.932327,0,0,-0.361612,
0.38,0,0,0.928664,0,0,-0.370917,
0.39,0,0,0.924908,0,0,-0.380185,
0.4,0,0,0.92106,0,0,-0.389415,
0.41,0,0,0.91712,0,0,-0.398606,
0.42,0,0,0.913088,0,0,-0.407757,
0.43,0,0,0.908965,0,0,-0.416867,
0.44,0,0,0.904751,0,0,-0.425936,
0.45,0,0,0.900446,0,0,-0.434962,
0.46,0,0,0.896052,0,0,-0.443944,
0.47,0,0,0.891567,0,0,-0.452882,
0.48,0,0,0.886994,0,0,-0.461775,
0.49,0,0,0.882332,0,0,-0.470622,
0.5,0,0,0.877582,0,0,-0.479421,
0.51,0,0,0.872743,0,0,-0.488173,
0.52,0,0,0.867818,0,0,-0.496876,
0.53,0,0,0.862806,0,0,-0.505529,
0.54,0,0,0.857708,0,0,-0.514131,
0.55,0,0,0.852523,0,0,-0.522683,
0.56,0,0,0.847254,0,0,-0.531182,
0.57,0,0,0.8419,0,0,-0.539627,
0.58,0,0,0.836461,0,0,-0.548019,
0.59,0,0,0.830939,0,0,-0.556356,
0.6,0,0,0.825334,0,0,-0.564637,
0.61,0,0,0.819647,0,0,-0.572862,
0.62,0,0,0.813877,0,0,-0.58103,
0.63,0,0,0.808026,0,0,-0.58914,
0.64,0,0,0.802094,0,0,-0.59719,
0.65,0,0,0.796082,0,0,-0.605181,
0.66,0,0,0.789991,0,0,-0.613111,
0.67,0,0,0.78382,0,0,-0.62098,
0.68,0,0,0.777571,0,0,-0.628787,
0.69,0,0,0.771244,0,0,-0.636531,
0.7,0,0,0.76484,0,0,-0.644212,
0.71,0,0,0.75836,0,0,-0.651828,
0.72,0,0,0.751804,0,0,-0.659379,
0.73,0,0,0.745172,0,0,-0.666864,
0.74,0,0,0.738466,0,0,-0.674282,
0.75,0,0,0.731687,0,0,-0.681633,
0.76,0,0,0.724834,0,0,-0.688915,
0.77,0,0,0.717908,0,0,-0.696129,
0.78,0,0,0.710911,0,0,-0.703273,
0.79,0,0,0.703843,0,0,-0.710347,
0.8,0,0,0.696704,0,0,-0.717349,
0.81,0,0,0.689496,0,0,-0.72428,
0.82,0,0,0.682219,0,0,-0.731139,
0.83,0,0,0.674873,0,0,-0.737924,
0.84,0,0,0.66746,0,0,-0.744636,
0.85,0,0,0.65998,0,0,-0.751273,
0.86,0,0,0.652435,0,0,-0.757835,
0.87,0,0,0.644824,0,0,-0.764322,
0.88,0,0,0.637148,0,0,-0.770732,
0.89,0,0,0.629409,0,0,-0.777064,
0.9,0,0,0.621607,0,0,-0.783319,
0.91,0,0,0.613743,0,0,-0.789496,
0.92,0,0,0.605817,0,0,-0.795594,
0.93,0,0,0.597831,0,0,-0.801612,
0.94,0,0,0.589785,0,0,-0.80755,
0.95,0,0,0.58168,0,0,-0.813408,
0.96,0,0,0.573517,0,0,-0.819184,
0.97,0,0,0.565296,0,0,-0.824878,
0.98,0,0,0.557019,0,0,-0.830489,
0.99,0,0,0.548686,0,0,-0.836018,
1,0,0,0.540299,0,0,-0.841463,
1.01,0,0,0.531857,0,0,-0.846823,
1.02,0,0,0.523362,0,0,-0.8521,
1.03,0,0,0.514815,0,0,-0.85729,
1.04,0,0,0.506217,0,0,-0.862396,
1.05,0,0,0.497567,0,0,-0.867415,
1.06,0,0,0.488868,0,0,-0.872347,
1.07,0,0,0.48012,0,0,-0.877192,
1.08,0,0,0.471324,0,0,-0.881949,
1.09,0,0,0.462481,0,0,-0.886618,
1.1,0,0,0.453592,0,0,-0.891198,
1.11,0,0,0.444657,0,0,-0.89569,
1.12,0,0,0.435678,0,0,-0.900091,
1.13,0,0,0.426656,0,0,-0.904403,
